index,eruption_year_CE
1,1169
2,1185
3,1222
4,1250
5,1284
6,1329
7,1333
8,1381
9,1408
10,1444
11,1446
12,1494
13,1536
14,1537
15,1566
16,1579
17,1595
18,1603
19,1607
20,1610
21,1614
22,1634
23,1643
24,1646
25,1651
26,1669
27,1689
28,1693
29,1702
30,1723
31,1735
32,1755
33,1763
34,1766
35,1780
36,1787
37,1792
38,1809
39,1811
40,1819
41,1832
42,1843
43,1852
44,1865
45,1874
46,1879
47,1883
48,1886
49,1892
50,1908
51,1910
52,1911
53,1918
54,1923
55,1928
56,1942
57,1947
58,1949
59,1950
60,1951
61,1955
62,1964
63,1968
64,1971
65,1974
66,1975
67,1978
68,1979
69,1981
70,1983
71,1985
72,1986
73,1989
74,1991
75,2001
76,2002
77,2004
78,2006
79,2008
80,2011
81,2013
82,2014
83,2015
84,2017
85,2018
86,2021
